"player_id","lica_nacional_española","player_nacionality","player_process","season","team_category","player_name","team_id","player_category"
"9975","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MARTIN PINTOS BARREIRO","1070","JUM"
"4417","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JOSE ANGEL IGLESIAS MARIÑO","1070","VEM"
"4901","liga_nacional_española","NIGERIANA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","AHMED KAZEEM KOLAWOLE","1070","SEM"
"16667","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","PABLO MAURICIO GUELL BORRAJO","1070","BEM"
"9976","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","DAVID GONZALEZ MARTINEZ","1070","SEM"
"19948","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JAVIER GÜELL BORRAJO","1070","BEM"
"3901","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","RAFAEL OTERO COSTAS","1070","23M"
"3581","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","SAMUEL PEREIRO COSTAS","1070","SEM"
"7486","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","EDGAR RODRIGUEZ PIÑEIRO","1070","23M"
"8939","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ANXO IGLESIAS NUÑEZ","1070","CIM"
"16078","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ANDRES TORRES VIDAL","1070","INM"
"16081","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JORGE LARRONDO PEREZ-IZAGUIRRE","1070","CJM"
"40","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ENRIQUE E. FERNANDEZ RODRIGUEZ","1070","VEM"
"21818","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ERIC JESUS PETTERSON RUIZ","1070","JUM"
"7760","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","HUGO BASTOS RIBAS","1070","JUM"
"8940","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MARTIN VARELA CANZANI","1070","JUM"
"8949","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","RODRIGO GRAÑA MOLINA","1070","23M"
"15621","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","DANIEL PIÑEIRO GONZALEZ","1070","JUM"
"15622","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ALEX TORRES OTERO","1070","CIM"
"17166","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MARCOS SOUSA GARCIA","1070","JUM"
"17167","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","IVÁN MARTINEZ FERNANDEZ","1070","JUM"
"19110","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MARIO CEBREIRO SANCHEZ","1070","INM"
"16666","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","LUIS GUELL BORRAJO","1070","ALM"
"16669","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","SIMON CASAL GONZALEZ","1070","ALM"
"2900","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","FRANCISCO MARTIN BARRANCO","1463","SEM"
"1291","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","LIU JUNHUI","1463","VEM"
"6162","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MARCOS SANMARTIN GARCIA","1463","23M"
"7769","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","CARLOS DOMINGUEZ TABUYO","1463","23M"
"8004","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","MANUEL CALVO MARTI","1463","JUM"
"8005","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","RICARDO CARRACEDO ALVAREZ","1463","VEM"
"8651","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JESUS PORTEIRO ALLO","1463","SEM"
"9316","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","AVELINO SOUTO PENA","1463","VEM"
"7830","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","FRANCISCO JAVIER TORRES TOBIO","1463","23M"
"15702","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","IKER CALVO GOMEZ","1463","ALM"
"16749","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ROI SIXTO SANJOSÉ","1463","SEM"
"17121","liga_nacional_española","PORTUGUESA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","DIOGO MIGUEL FERREIRA DE CARVALHO","1463","23M"
"18618","liga_nacional_española","PORTUGUESA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JOSÉ ÉNIO MENDES DA ENCARNÇAO","1463","SEM"
"3578","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","LIBRE SANCHO MARTINEZ","1463","SEM"
"3791","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","RAFAEL TABOADA VALVERDE","1463","SEM"
"1290","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","PABLO LOIS GONZÁLEZ","1463","VEM"
"19698","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","JOSÉ LUÍS CONDE PULLEIRO","1463","VEM"
"6638","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2014-2015","17","ELISEO XAVIER MIGUELEZ DIAZ","1463","VEM"
