"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"03/10/2015","liga_eacta.php?IDENCUENTRO=131701011&EL=CLUB NARON T.M.&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","1","NARONENSE","10490","2015-2016","16:00","17","2","4","10492","CLUB NARON T.M."
"03/10/2015","liga_eacta.php?IDENCUENTRO=131701015&EL=HOTEL CHIPS SAN XOAN&EV=HELIOS ASESORIA SERINTE&IDJORNADA=100&IDNIVEL=17#acta","1","HELIOS ASESORIA SERINTE","10233","2015-2016","17:00","17","5","1","10217","HOTEL CHIPS SAN XOAN"
"03/10/2015","liga_eacta.php?IDENCUENTRO=131701013&EL=CD DEZ PORTAS LUGAUTO&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","1","LICEO CASINO","10573","2015-2016","17:00","17","6","0","1447","CD DEZ PORTAS LUGAUTO"
"03/10/2015","liga_eacta.php?IDENCUENTRO=131701012&EL=CLUB FERROL TM&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","1","MERCANTIL VIGO TENIS DE MESA","14025","2015-2016","17:00","17","5","1","10504","CLUB FERROL TM"
"03/10/2015","liga_eacta.php?IDENCUENTRO=131701016&EL=A.D. VINCIOS-DOMÍNGUEZ DANTAS&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","1","C.T.M. CORUÑA","796","2015-2016","18:00","17","6","0","10576","A.D. VINCIOS-DOMÍNGUEZ DANTAS"
"04/10/2015","liga_eacta.php?IDENCUENTRO=131701014&EL=CLUB DEL MAR PROMESAS&EV=MONTE PORREIRO)&IDJORNADA=100&IDNIVEL=17#acta","1","MONTE PORREIRO)","1284","2015-2016","11:00","17","1","5","1007","CLUB DEL MAR PROMESAS"
"10/10/2015","liga_eacta.php?IDENCUENTRO=131701023&EL=C.T.M. CORUÑA&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","2","CLUB FERROL TM","10504","2015-2016","17:00","17","1","5","796","C.T.M. CORUÑA"
"10/10/2015","liga_eacta.php?IDENCUENTRO=131701022&EL=HELIOS ASESORIA SERINTE&EV=CLUB NARON T.M.&IDJORNADA=100&IDNIVEL=17#acta","2","CLUB NARON T.M.","10492","2015-2016","17:00","17","2","4","10233","HELIOS ASESORIA SERINTE"
"10/10/2015","liga_eacta.php?IDENCUENTRO=131701021&EL=NARONENSE&EV=A.D. VINCIOS-DOMÍNGUEZ DANTAS&IDJORNADA=100&IDNIVEL=17#acta","2","A.D. VINCIOS-DOMÍNGUEZ DANTAS","10576","2015-2016","17:00","17","4","2","10490","NARONENSE"
"11/10/2015","liga_eacta.php?IDENCUENTRO=131701026&EL=MERCANTIL VIGO TENIS DE MESA&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","2","CD DEZ PORTAS LUGAUTO","1447","2015-2016","11:00","17","2","4","14025","MERCANTIL VIGO TENIS DE MESA"
"11/10/2015","liga_eacta.php?IDENCUENTRO=131701025&EL=LICEO CASINO&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","2","CLUB DEL MAR PROMESAS","1007","2015-2016","11:00","17","1","5","10573","LICEO CASINO"
"11/10/2015","liga_eacta.php?IDENCUENTRO=131701024&EL=MONTE PORREIRO)&EV=HOTEL CHIPS SAN XOAN&IDJORNADA=100&IDNIVEL=17#acta","2","HOTEL CHIPS SAN XOAN","10217","2015-2016","11:00","17","5","1","1284","MONTE PORREIRO)"
"17/10/2015","liga_eacta.php?IDENCUENTRO=131701031&EL=CLUB NARON T.M.&EV=MONTE PORREIRO)&IDJORNADA=100&IDNIVEL=17#acta","3","MONTE PORREIRO)","1284","2015-2016","16:00","17","1","5","10492","CLUB NARON T.M."
"17/10/2015","liga_eacta.php?IDENCUENTRO=131701035&EL=NARONENSE&EV=HELIOS ASESORIA SERINTE&IDJORNADA=100&IDNIVEL=17#acta","3","HELIOS ASESORIA SERINTE","10233","2015-2016","17:00","17","6","0","10490","NARONENSE"
"17/10/2015","liga_eacta.php?IDENCUENTRO=131701034&EL=HOTEL CHIPS SAN XOAN&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","3","LICEO CASINO","10573","2015-2016","17:00","17","4","3","10217","HOTEL CHIPS SAN XOAN"
"17/10/2015","liga_eacta.php?IDENCUENTRO=131701032&EL=CD DEZ PORTAS LUGAUTO&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","3","C.T.M. CORUÑA","796","2015-2016","17:00","17","5","1","1447","CD DEZ PORTAS LUGAUTO"
"17/10/2015","liga_eacta.php?IDENCUENTRO=131701036&EL=A.D. VINCIOS-DOMÍNGUEZ DANTAS&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","3","CLUB FERROL TM","10504","2015-2016","18:00","17","4","2","10576","A.D. VINCIOS-DOMÍNGUEZ DANTAS"
