"player_id","lica_nacional_española","player_nacionality","player_process","season","team_category","player_name","team_id","player_category"
"1501","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","RAMON BECERRA MELO","1447",""
"3087","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","ADRIAN EXPOSITO MATEO","1447",""
"10048","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","PABLO LOPEZ FRAGA","1447",""
"17242","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","ALBERTO FERNANDEZ CHOREN","1447",""
"18458","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","PABLO FERNANDEZ ALVAREZ","1447",""
"17240","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","SAMUEL FERNANDEZ CHOREN","1447",""
"18726","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","XABIER XOAN CARRICOBA MUÑOA","1447",""
"18460","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","MARCO GARCIA REAL","1447",""
"17266","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","JOSE GARCIA MARTINEZ","1447",""
"6471","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","MANEL IGLESIA REY","1447",""
"10870","liga_nacional_española","OTRO PAIS EXT","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","BASSEM KASBO HAFFAR","1447",""
"10061","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","HUGO BECERRA MELO","1447",""
"18459","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","VITO CASTELLO LOPEZ","1447",""
"17264","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","IGNACIO PENA SOMOZA","1447",""
"17262","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","JUAN SUAREZ DACAL","1447",""
"19324","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","ADRIAN FERNANDEZ MASIDE","1447",""
"16719","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","ALVARO SÁNCHEZ GARCÍA","1447",""
"1262","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","JOSE LUIS VAZQUEZ ROMERO","1447",""
"23024","liga_nacional_española","ESPAÑOLA","Solicitada por Club (En pruebas no Oficial)","2015-2016","17","ANDRES MARTIN REIJA","1447",""
